Revision, Author, Date, # Lines Comment Files Changed
1491912,Jimmy,"2015-07-14 14:56:43 +0100 (Tue, 14 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/adapters/AbstractDescriptionItemAdapter.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/adapters/CursorDescriptionItemAdapter.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/ATTOverviewTransferActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/AutomaticWifiDirect.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/ContentTransferServerTransferActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/MCTNsdQRCodeScanning.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/MCTQRCodeScanning.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/MctAbstractStartupActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/activities/QRCodeGenerator.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/adapters/MctTutorAdapter.java
1492308,Jimmy,"2015-07-15 11:33:28 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AbstractAtpAuthActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AtpAuthActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/StorageMeterFragment.java
1492330,Jimmy,"2015-07-15 11:55:03 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/UpgradeFragment.java
1492395,Jimmy,"2015-07-15 13:30:01 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/homescreen/AlbumDataHolder.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/homescreen/HomeScreenAdapter.java
1492399,Jimmy,"2015-07-15 13:42:17 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492402,Jimmy,"2015-07-15 13:48:45 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/common/report/template.html
1492405,/OU=Domain Control Validated/CN=svn.company.net,"2015-07-15 13:49:47 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492409,Jimmy,"2015-07-15 13:55:46 +0100 (Wed, 15 Jul 2015),"Changed paths:A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/dev.properties (from /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/prod.properties:1492330)M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build.gradle
1492414,Jimmy,"2015-07-15 14:04:56 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492455,Jimmy,"2015-07-15 15:00:04 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/adapters/RamDescriptionContainerHandler.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/adapters/helpers/ShareViewHolder.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/adapters/helpers/ViewHolder.java
1492457,Jimmy,"2015-07-15 15:02:58 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/auth/AuthenticationUIControllerImpl.java
1492470,Jimmy,"2015-07-15 15:08:50 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/configuration/ApiConfigHelper.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/configuration/ApiConfigManager.java
1492481,Alan,"2015-07-15 15:25:12 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/prod.propertiesA /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/restore_action.xmlA /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/restore_scanner.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xmlA /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/colors.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/res/values/booleans.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/configuration/ApiConfigManager.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/RestoreActionFragment.java
1492513,/OU=Domain Control Validated/CN=svn.company.net,"2015-07-15 15:46:38 +0100 (Wed, 15 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1492955,Alan,"2015-07-16 11:48:20 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/dev.properties
1492956,Alan,"2015-07-16 11:51:46 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/res/values/booleans.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/ToolsFragment.java
1493028,Jimmy,"2015-07-16 13:41:50 +0100 (Thu, 16 Jul 2015),"Changed paths:A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/wizard_activity.xml (from /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/wizard_activity.xml:1492858)M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xmlA /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/drawable-hdpi/splash_title.png (from /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/drawable-hdpi/splash_logo.png:1492858)M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values/strings.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values-es/strings.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/WizardActivity.java
1493036,Jimmy,"2015-07-16 13:51:17 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/wizard_activity.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/WizardActivity.java
1493044,Jimmy,"2015-07-16 14:02:49 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/lint.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/wizard_activity.xml
1493067,Alan,"2015-07-16 14:37:37 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/res/values/booleans.xmlM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/PictureViewActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/VideoViewActivity.java
1493081,Jimmy,"2015-07-16 14:47:09 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/strings.xml
1493202,Thomas,"2015-07-16 16:48:08 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values-es/strings.xml
1493269,Nicky,"2015-07-16 19:32:25 +0100 (Thu, 16 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle
1493381,Thomas,"2015-07-17 08:39:34 +0100 (Fri, 17 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/layout/wizard_activity.xml
